code,category,number,title,units,desc
RELIGION 240-0,RELIGION,240-0,Introduction to Christianity,1,"Doctrine, worship, and institutions in the various branches of Christianity. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area"
RELIGION 250-0,RELIGION,250-0,Introduction to Islam,1,Principal beliefs and practices of Muslims set against the historic development of the faith. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area
RELIGION 262-0,RELIGION,262-0,Introduction to Black Religions: The North American Experience,1,"Introduces students to the variety of Black religions that developed during and after the Atlantic slave trade up to the present. Explores these traditions as continuities/changes of West African religious cosmologies. Examines the interplay between religion, politics, and the constructions of racial identities within various forms of Christianity, Islam, and other expressive cultures. RELIGION 262-0 and BLK_ST 262-0 are taught together; may not receive credit for both. Historical Studies Distro Area Historical Studies Foundational Discipline U.S. Perspectives on Power, Justice, and Equity"
RELIGION 264-0,RELIGION,264-0,American Religious History from 1865 to the Great Depression,1,"Topics include urban religion, African American churches, Christians and foreign policy, immigrant religion, the spiritual crisis of the 1920s, and Pentecostalism. Ethics Values Distro Area Historical Studies Distro Area Historical Studies Foundational Discipline Interdisciplinary Distro - See Rules"
RELIGION 265-0,RELIGION,265-0,American Religious History from World War II to the Present,1,"Religion and the making of contemporary America, including Cold War religion, the Black Gods of the Great Migration, the rise of the Christian Right, and modern American Catholicism and Judaism. Ethics Values Distro Area Historical Studies Distro Area Historical Studies Foundational Discipline Interdisciplinary Distro - See Rules"
RELIGION 270-0,RELIGION,270-0,Introduction to Theology,1,"Theology as an academic discipline with a long history of asking fundamental questions about religious experience, texts, practices, and ideas in dialogue with thinkers past and present. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area"
RELIGION 271-0,RELIGION,271-0,Theology of Love,1,"The concept of love from theological, historical, philosophical, and biblical perspectives. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area"
RELIGION 272-0,RELIGION,272-0,Luther and the West,1,"Examination of Luther's work in the context of his life and times. Introduces basic dimensions of Western thought, showing how theology relates to broader cultural, political, social, and aesthetic issues. GERMAN 272-0 and RELIGION 272-0 are taught together; may not receive credit for both courses. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area Historical Studies Distro Area Interdisciplinary Distro - See Rules"
RELIGION 275-0,RELIGION,275-0,Mysticism and Spirituality,1,"Examines mysticism (mystical experience, relationship, prayer, or consciousness) and spirituality (spiritual presence and practice) across religious traditions and outside traditions. Ethics Values Distro Area"
RELIGION 295-0,RELIGION,295-0,Ahimsa: Nonviolence in South Asia and Beyond,1,"Theory and practice of nonviolence in human action, taking into account ethics as well as efficacy. Emphasis on both spiritual and practical approaches to nonviolence and its usefulness in effecting spiritual development and social change. Advanced Expression Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area Global Perspectives on Power, Justice, and Equity"
RELIGION 301-0,RELIGION,301-0,Hindu Epics: Mahābhārata,1,RELIGION 301-0 Hindu Epics: Mahābhārata (1 Unit) Advanced Expression Ethics Values Distro Area Interdisciplinary Distro - See Rules Literature Fine Arts Distro Area Literature and Arts Foundational Discipline
RELIGION 302-0,RELIGION,302-0,Hindu Epics: Rāmāyaṇa,1,RELIGION 302-0 Hindu Epics: Rāmāyaṇa (1 Unit) Ethics Values Distro Area
RELIGION 305-1,RELIGION,305-1,Introductory Readings in Sanskrit I,1,"This course is the first of a two quarter sequence that provides instruction in the Sanskrit language for beginners. No prior knowledge is required. It begins a comprehensive introduction to the Sanskrit language, while engaging students from the beginning in the practice of translation."
RELIGION 305-2,RELIGION,305-2,Introductory Readings in Sanskrit II,1,"This course is the second of a two quarter sequence that provides instruction in the Sanskrit language for beginners. Students continue a comprehensive introduction to the Sanskrit language through study of its forms and through translation. 
Prerequisite: RELIGION 305-1."
